Factor1,Factor2,Factor3,Factor4
-1.0978811150613863,3.042658814482569,0.4411101697014406,1.7943679287756948
0.8377115570676287,5.054603617584485,4.593510811570366,1.305087540802389
-2.6784979902004955,5.816442679405863,-3.505566143998449,-0.00761530538331798
14.0186537620439,1.8125636542901185,3.0092464862191246,-6.586101589404217
-9.822321941145448,-3.651578170217907,0.9060576208325174,-2.7846244654034
2.554880767193004,-3.705111038473597,7.1714323729681855,1.0691572893309296
-0.5716158793576396,9.180495776364376,0.37729646848857645,-2.426421095590505
11.884491157917108,3.5951764750763324,-1.2247050665414783,2.297190998848171
8.452700615825528,-1.296943135258948,5.675810919735245,-0.4787337390831685
19.29773792981587,-7.7162086364652716,8.04970119121708,1.71021163790281
5.658829306914684,-0.8101082627460284,5.0246396312022465,3.281884949320265
-0.18795054670791533,6.227028042836636,5.2621876208265235,-5.303673905772969
-12.617899971935193,0.6743393304661004,-1.7050088926337454,0.8675456223522884
0.17084391152685702,-5.391746279834549,-1.1933094439294876,1.2601562704502303
-6.761386655863711,-3.809063093156907,-1.5882940760055213,4.761946671437308
-11.292253375773655,-2.0461887169632895,-1.9214038912238214,-0.07643809995421809
11.160840231113468,4.0817988818036754,2.5906644011531728,-4.980258564081456
-3.2931714344508887,6.469812470800474,3.313380572209124,1.5220482305307366
2.439605538670107,-0.04850926880195862,0.2883687227192039,5.076235655729763
6.081930721662567,0.4564228957125793,2.588141625795514,3.7397811135123855
-2.0780118521640567,3.787346274768017,1.5092206785244107,2.7115704665977476
0.4353376388017889,1.5172627846211035,-1.059171898057332,0.6286199042225549
2.0668106031514153,-3.4517947941966556,-0.6022473514633858,0.5882038120061789
3.832078905854856,-1.6280977255670321,3.472628486748775,-0.6312835601433561
-5.762198189825686,-1.6346711551779871,-0.06634034090851854,2.120720910078949
-4.86244106083628,-2.059297344368071,2.9593407820243387,-3.4849636688122305
1.1416899090057373,1.1728076776481893,-2.551486440307749,8.120994576812958
2.482921191339321,0.8773855143496344,3.090210615665806,1.820127676823324
8.291868061818926,-1.4765775979819624,0.4153110565204185,1.5263878930588284
7.6207080633205395,5.926968732217435,3.8456838287257664,2.3191629655731516
-0.3870477549104531,1.0079178583733714,5.24159587564795,0.4388562601616022
-3.9518611995843784,6.572973821095281,-2.6427153414545916,1.9539754983720028
-1.7217170674265803,1.5804916025966063,2.4775524621904976,3.9273973881088575
0.8959070762510634,5.032483705298132,-4.922214287191415,4.845592774638312
-0.21817445641959152,0.34153149879623884,1.2542958815110719,1.6695384706484673
