Factor1,Factor2,Factor3,Factor4,Cat_sex
-31.733634963199357,46.445726853096815,29.296244256563757,6.117341145082804,1
-23.112955292663507,51.38863644531598,16.3145666715248,12.638923124985947,0
-34.009806722686044,51.721608236739684,35.517669830254164,3.7387908163245305,1
18.139115935220694,40.18616698404436,16.935481298249357,-15.212638510031248,0
-68.67828735555099,22.75978113421701,24.239421590370576,-3.4098162713867417,1
-26.21624789865273,24.041442738613,11.401727121925571,2.790849748175756,0
-29.309450491236852,63.99852489273093,24.811688550692264,-3.2542318123855565,1
20.18542847549586,47.21350977062197,35.97761130632345,5.978348358039581,0
-8.70471916152351,30.328977505083497,17.263199896520028,0.2937420685994644,1
39.48766701118512,13.484844730551673,11.235530846833864,5.244545464237952,0
-11.242259058856817,32.64413911135366,22.56919363481407,9.048222038264244,1
-32.106526805236456,58.62103433150266,10.744405868041365,-8.651821401200674,1
-75.41655758526258,34.96806812914279,32.16224836399587,5.391485080922929,1
-32.11905560340817,15.896636523039268,30.775282753424094,6.390069223814913,1
-54.969819121610826,19.477964846522223,35.123031790732654,14.20674120627013,0
-72.55856290896416,24.813698769729864,31.20253678540913,2.1905827357218977,1
8.247019830599044,47.36376811484898,19.16432719634645,-9.133393414486592,0
-40.198955100167304,58.16535655853663,20.324170225675985,5.330960272549176,1
-15.478330400283237,34.86287767534672,31.947050507935494,17.700698803336547,1
-4.480405676621307,36.556182921196,27.41923773782951,13.070575523912707,0
-30.687183517012663,49.13841198781534,26.267111645845283,13.601193148032822,1
-28.395172958240813,37.24737441976986,31.68938363563626,2.7477176333283704,0
-22.532269390028745,21.917653356070716,31.41399356072762,3.5949132704611526,0
-21.503080809894218,32.153012993316025,23.324344460726206,-3.3161663158278656,1
-53.27273081991912,27.489773726446426,27.528166267647155,8.526596458227154,0
-49.007888641676885,28.2873646534258,14.309950759259374,-5.084862239349647,0
-18.27134691718283,36.11936362649797,42.17811884064727,23.91302210536213,0
-18.842882404763717,38.79463481815165,23.168144952517245,7.956524646052839,1
2.957642680459346,29.205567169882112,31.771297843283143,6.51388858201539,1
-1.528771403399526,55.069704440437874,20.647161692867275,5.550713264201861,1
-34.69729558376063,39.29161089638047,17.116939502533043,3.79416258061171,1
-38.628328119239924,53.61662188235541,34.58320193147108,12.717252659354543,0
-36.28892723911734,40.61510578897923,24.573724878612396,11.852865042456713,1
-22.708141811756533,46.53006771169066,44.77014934576367,12.1396954543504,0
-34.113649999894605,33.95392251982025,26.50960118485238,6.3326048848198235,0
-14.999536788801816,22.74072754528782,24.85618688884992,17.077598939508373,1
-19.57973074704836,57.5811532211808,24.42714183504699,-5.47856584244881,1
